Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,25
design__inferred_latch__count,0
design__instance__count,915
design__instance__area,6307.08
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00011337765317875892
power__switching__total,0.00003450400981819257
power__leakage__total,7.061606410729837E-9
power__total,0.00014788871339987963
clock__skew__worst_hold__corner:nom_tt_025C_1v80,8.76970609842194
clock__skew__worst_setup__corner:nom_tt_025C_1v80,15.793914179091635
timing__hold__ws__corner:nom_tt_025C_1v80,0.6265054763417574
timing__setup__ws__corner:nom_tt_025C_1v80,10.733378045716544
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.626505
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,18.724277
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,6
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,12.704888167786677
clock__skew__worst_setup__corner:nom_ss_100C_1v60,27.018823498847976
timing__hold__ws__corner:nom_ss_100C_1v60,1.494157284634213
timing__setup__ws__corner:nom_ss_100C_1v60,9.82083953069095
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,1.494157
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,17.588564
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,7.139162352247352
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,11.445894334076554
timing__hold__ws__corner:nom_ff_n40C_1v95,0.33544307170297893
timing__setup__ws__corner:nom_ff_n40C_1v95,11.08640055582207
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.335443
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,19.087011
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,6
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,12.792388843634964
clock__skew__worst_setup,11.358862616447134
timing__hold__ws,0.3346540916882152
timing__setup__ws,9.801018940516357
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.334654
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,17.583855
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,915
design__instance__area__stdcell,6307.08
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.382402
design__instance__utilization__stdcell,0.382402
design__instance__count__class:standard_cell,5
design__instance__count__class:buffer,1
design__instance__count__class:inverter,165
design__instance__count__class:sequential_cell,96
design__instance__count__class:multi_input_combinational_cell,357
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1228
design__instance__count__class:tap_cell,225
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,10425.8
design__violations,0
design__instance__count__class:timing_repair_buffer,61
design__instance__count__class:clock_buffer,3
design__instance__count__class:clock_inverter,1
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,16
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
route__net,707
route__net__special,2
route__drc_errors__iter:1,152
route__wirelength__iter:1,11243
route__drc_errors__iter:2,58
route__wirelength__iter:2,11114
route__drc_errors__iter:3,71
route__wirelength__iter:3,11117
route__drc_errors__iter:4,0
route__wirelength__iter:4,11136
route__drc_errors,0
route__wirelength,11136
route__vias,3918
route__vias__singlecut,3918
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,173.88
timing__unannotated_net__count__corner:nom_tt_025C_1v80,23
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,23
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,23
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,8.689927245972916
clock__skew__worst_setup__corner:min_tt_025C_1v80,15.670942320692593
timing__hold__ws__corner:min_tt_025C_1v80,0.6258783668485619
timing__setup__ws__corner:min_tt_025C_1v80,10.748829686121068
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.625878
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
